recommendationid,Polarity,Subjectivity,NLTK_Compound,Sentiment_Label
212664845,0.0,0.9,-0.5106,Negative
212664705,0.022208994708994702,0.48641534391534397,-0.9429,Negative
212664692,-0.275,0.25,-0.2498,Negative
212664560,-0.02121212121212122,0.38484848484848483,0.3384,Positive
212664471,0.25208333333333327,0.5104166666666666,0.5568,Positive
212664440,0.595,0.63,0.8931,Positive
212664396,0.6,0.55,0.6887,Positive
212664375,0.5,0.2,0.7039,Positive
212664334,0.23750000000000004,0.6375,0.875,Positive
212664217,0.07878787878787878,0.48484848484848486,0.6369,Positive
212664214,0.0,0.0,0.0,Neutral
212664099,-0.2,0.45,-0.4019,Negative
212664091,0.0,0.6000000000000001,0.5106,Positive
212664077,-0.09999999999999999,0.39285714285714285,-0.765,Negative
212664032,-0.1,0.6,0.5106,Positive
212663868,0.1375,0.55,0.8379,Positive
212663774,0.2,0.575,0.6249,Positive
212663748,-0.16666666666666666,0.06666666666666667,0.0,Neutral
212663741,0.13333333333333333,0.3666666666666667,0.5563,Positive
212663654,-0.007499999999999995,0.5399999999999999,0.5994,Positive
212663623,-0.4,0.4,0.1531,Positive
212663592,0.41666666666666663,0.9444444444444444,0.8658,Positive
212663578,-0.16250000000000003,0.3375,0.4493,Positive
212663540,-0.12499999999999999,0.5291666666666667,0.6249,Positive
212663426,-0.003333333333333336,0.52,0.5563,Positive
212663396,0.175,0.8,0.0836,Positive
212663314,0.22857142857142856,0.5619047619047618,0.6249,Positive
212663062,-0.4,0.4,0.0,Neutral
212662956,0.0,0.0,-0.1531,Negative
212662935,0.07777777777777779,0.32222222222222224,0.5106,Positive
212662895,0.20249999999999999,0.49000000000000005,0.8016,Positive
212662892,0.14999999999999997,0.5,0.4404,Positive
212662880,-0.05000000000000001,0.425,0.6412,Positive
212662461,-0.4,0.4,0.0,Neutral
212662425,-0.037500000000000006,0.45,0.3999,Positive
212662353,0.13333333333333333,0.3888888888888889,-0.5994,Negative
212662291,0.14285714285714285,0.6571428571428571,0.8118,Positive
212662052,-0.044642857142857144,0.4125,0.9407,Positive
212662041,0.0,0.0,0.0,Neutral
212661975,-0.17003367003367006,0.4412457912457912,-0.7012,Negative
212661970,-0.4,0.4,0.0,Neutral
212661959,0.8,0.75,0.802,Positive
212661940,-0.05571428571428572,0.601904761904762,-0.8826,Negative
212661840,0.004166666666666652,0.37083333333333335,0.4459,Positive
212661833,0.25,1.0,-0.4767,Negative
212661784,-0.04285714285714285,0.37142857142857144,-0.3896,Negative
212661730,0.04999999999999999,0.7,0.4588,Positive
212661577,0.3,0.35,0.8251,Positive
212661469,-0.0909920634920635,0.46908730158730166,-0.9153,Negative
212661445,0.11666666666666667,0.48571428571428577,0.9859,Positive
212661275,0.29523809523809524,0.41190476190476194,0.6369,Positive
212661168,0.011904761904761906,0.6023809523809524,0.7506,Positive
212660924,0.04999999999999999,0.45,0.5423,Positive
212660842,0.13214285714285715,0.3535714285714286,0.4588,Positive
212660646,0.65,0.4,0.8513,Positive
212660378,-0.16428571428571428,0.6119047619047618,-0.4265,Negative
212660348,0.1,0.5375,0.8622,Positive
212660140,0.04999999999999999,0.3,-0.7935,Negative
212660132,0.024999999999999994,0.8,0.714,Positive
212660031,0.04374999999999998,0.5472222222222222,-0.5207,Negative
212659911,-0.21999999999999997,0.48666666666666664,-0.6249,Negative
212659851,0.059999999999999984,0.4,0.0772,Positive
212659849,0.007676140284835935,0.5372529644268773,0.9971,Positive
212659778,0.021428571428571425,0.4571428571428572,0.8218,Positive
212659769,-0.07061688311688312,0.5290584415584415,-0.7501,Negative
212659753,0.25,0.7,0.8519,Positive
212659364,0.4583333333333333,0.3833333333333333,0.7637,Positive
212659321,-0.12916666666666665,0.4875,0.5023,Positive
212659264,0.08333333333333334,0.4125925925925926,0.8717,Positive
212659104,0.0,1.0,0.0,Neutral
212659068,0.028571428571428574,0.472420634920635,-0.2732,Negative
212659018,0.20000000000000004,0.44999999999999996,0.8268,Positive
212658899,0.20625000000000002,0.50625,0.8718,Positive
212658802,0.07499999999999997,0.475,-0.8121,Negative
212658742,0.2108058608058608,0.4188644688644689,-0.9192,Negative
212658592,0.4,0.9,-0.7845,Negative
212658537,-0.4,0.4,0.6249,Positive
212658512,0.6,0.8,0.8934,Positive
212658425,-0.17962962962962967,0.5074074074074074,-0.8542,Negative
212658325,0.0,0.0,0.5526,Positive
212658268,0.5,0.5,0.1779,Positive
212658251,-0.16,0.52,0.3818,Positive
212658090,0.01567254174397032,0.5242656153370439,-0.9955,Negative
212657937,0.09999999999999998,0.25999999999999995,0.3178,Positive
212657745,0.060177404295051376,0.4045985060690943,0.8348,Positive
212657652,0.225,0.42500000000000004,0.8313,Positive
212657646,0.4000000000000001,0.4000000000000001,0.4939,Positive
212657628,0.010000000000000009,0.7111111111111111,-0.7166,Negative
212657602,-0.1,0.6,-0.7717,Negative
212657574,0.175,0.45,0.4404,Positive
212657429,-0.13078962053571427,0.5571428571428572,-0.937,Negative
212657332,0.53,0.72,0.4716,Positive
212657194,-0.12187500000000001,0.5,-0.7927,Negative
212657191,-0.028688672438672444,0.4077200577200577,0.2212,Positive
212657129,-0.3125,0.6875,0.0,Neutral
212656928,0.14427083333333335,0.6609375000000001,0.9623,Positive
212656915,0.03749999999999998,0.5,-0.6743,Negative
212656746,-0.10000000000000002,0.43333333333333335,-0.1027,Negative
212656601,0.3,0.7,0.5719,Positive
212656536,-0.07333333333333333,0.44666666666666666,-0.6344,Negative
212656506,-0.17491666666666666,0.5274166666666666,-0.4672,Negative
212656457,0.4,0.35,0.5563,Positive
212656233,0.0,0.0,0.3818,Positive
212656222,0.04304794842838324,0.4437263943785682,0.9896,Positive
212656149,0.14166666666666666,0.5214285714285715,0.8864,Positive
212656144,0.0,0.65,0.5787,Positive
212655950,0.22,0.5133333333333333,0.4201,Positive
212655882,0.1442001488095238,0.5542559523809525,0.9941,Positive
212655684,0.16439393939393937,0.5757575757575758,0.8402,Positive
212655636,0.0,0.0,0.0,Neutral
212655593,-0.12791666666666668,0.3554166666666666,0.5499,Positive
212655532,0.9099999999999999,0.7800000000000001,0.4927,Positive
212655519,0.014285714285714275,0.3142857142857142,0.8872,Positive
212655457,-0.05217687074829932,0.4292063492063492,0.7129,Positive
212655367,0.30625,0.5,0.6696,Positive
212655124,-0.013461538461538473,0.4083333333333333,0.4305,Positive
212655102,0.4,0.5,0.0,Neutral
212655063,0.28113017934446505,0.4877241805813234,0.9662,Positive
212655060,-0.1638888888888889,0.32222222222222224,-0.8704,Negative
212655017,0.19166666666666665,0.3666666666666667,-0.9916,Negative
212654978,0.0,0.0,0.6124,Positive
212654960,0.4000000000000001,0.5333333333333333,0.6124,Positive
212654940,0.0,0.0,0.5574,Positive
212654717,0.0,0.0,0.0,Neutral
212654447,0.13333333333333333,0.3666666666666667,0.5563,Positive
212654327,-0.2,0.275,0.0,Neutral
212654147,0.3431313131313132,0.6235353535353535,0.9745,Positive
212654144,0.0,0.0,-0.4404,Negative
212654078,-0.1625,0.5333333333333333,0.6588,Positive
212653978,0.02499999999999999,0.3609848484848485,-0.8027,Negative
212653770,0.1333333333333333,0.39999999999999997,0.6597,Positive
212653639,0.35,0.5375,0.7579,Positive
212653600,0.09999999999999998,0.6666666666666666,0.2263,Positive
212653199,0.10000000000000002,0.5,0.8402,Positive
212653130,-0.25,0.625,-0.6007,Negative
212653088,0.03333333333333332,0.44166666666666665,0.1531,Positive
212653079,0.09460470085470084,0.5185134310134308,0.9945,Positive
212653017,0.25833333333333336,0.39999999999999997,0.5562,Positive
212652980,0.8999999999999999,1.0,0.4215,Positive
212652883,-0.061363636363636356,0.46212121212121215,-0.2572,Negative
212652841,0.2875,0.5,0.886,Positive
212652763,0.0,0.0,0.0,Neutral
212652579,0.15214285714285714,0.38,0.9476,Positive
212652573,0.09090909090909095,0.45681818181818185,-0.7849,Negative
212652559,0.0,0.0,0.0,Neutral
212652420,0.029999999999999992,0.39249999999999996,0.049,Neutral
212652407,-0.025000000000000022,0.47500000000000003,-0.7184,Negative
212652385,0.0,0.0,-0.296,Negative
212652337,0.015909090909090918,0.5446969696969698,0.2516,Positive
212652307,0.4066666666666666,0.6033333333333333,0.9493,Positive
212652148,0.07,0.39466666666666667,0.8784,Positive
212652143,0.2,0.575,0.6249,Positive
212652094,-0.1,0.4,-0.0516,Negative
212651967,-0.4,0.4,0.4019,Positive
212651906,0.0,0.0,0.0,Neutral
212651788,-0.6,0.5,-0.9337,Negative
212651736,0.8,0.75,0.8481,Positive
212651693,0.011111111111111141,0.5305555555555556,-0.1774,Negative
212651601,-0.040353641456582615,0.4626575630252101,-0.9286,Negative
212651420,0.19999999999999998,0.2333333333333333,0.0258,Neutral
212651344,-0.26249999999999996,0.5041666666666667,-0.705,Negative
212651304,-0.009374999999999974,0.4875000000000001,0.9688,Positive
212651220,-0.04083333333333335,0.44,0.1166,Positive
212651101,0.24505208333333334,0.5683159722222222,0.9609,Positive
212650973,0.6499999999999999,0.8,0.7351,Positive
212650903,0.11470588235294114,0.5449754901960784,0.6278,Positive
212650716,0.0875,0.5833333333333334,0.784,Positive
212650645,0.049999999999999996,0.4138888888888889,-0.9201,Negative
212650625,0.0,0.0,0.0,Neutral
212650499,0.013105963105963105,0.49643393393393387,-0.9703,Negative
212650350,-0.3125,0.6875,0.34,Positive
212650344,0.08787878787878788,0.5045454545454545,0.9261,Positive
212650161,-0.08571428571428573,0.42857142857142855,-0.954,Negative
212650156,0.40625,0.34,0.8313,Positive
212650133,0.14166666666666664,0.5128787878787879,0.8957,Positive
212649765,0.03888888888888889,0.22499999999999998,0.5785,Positive
212649735,-1.3877787807814457e-17,0.375,0.762,Positive
212649648,0.018750000000000006,0.5162500000000001,0.3634,Positive
212649636,0.2833333333333334,0.37777777777777777,0.8245,Positive
212649617,0.25,0.55,0.8047,Positive
212649463,0.3,0.2,0.6908,Positive
212649295,0.30000000000000004,0.55,0.6767,Positive
212649215,-0.6,0.6666666666666666,-0.8225,Negative
212649091,-0.016666666666666673,0.3666666666666667,-0.9817,Negative
212649082,0.26785714285714285,0.4523809523809524,0.7698,Positive
212649050,-0.17916666666666667,0.4833333333333334,-0.4376,Negative
212648729,0.27142857142857146,0.3071428571428571,0.9565,Positive
212648684,0.3,0.35,0.6369,Positive
212648603,-0.6999999999999998,0.6666666666666666,-0.6696,Negative
212648201,0.13606716053899157,0.5126059386622764,0.9945,Positive
212648097,0.19166666666666668,0.6,0.7717,Positive
212648017,-0.30000000000000004,0.3192307692307692,0.7403,Positive
212647822,0.14727272727272725,0.5709090909090909,0.7579,Positive
212647554,-0.4,0.4,-0.3771,Negative
212647460,0.2717956349206349,0.5975,0.9679,Positive
212647390,-0.4000000000000001,0.6333333333333333,-0.7378,Negative
212647347,0.2583333333333333,0.6166666666666666,0.9358,Positive
212647298,0.5859375,0.5,0.7022,Positive
212647192,0.05176218708827404,0.4842555994729908,0.9718,Positive
212647179,0.0,0.0,0.5423,Positive
212647177,0.009999999999999976,0.36166666666666664,-0.8364,Negative
212647095,0.19166666666666668,0.6,0.796,Positive
212647029,-0.007142857142857165,0.8285714285714285,0.659,Positive
212646960,0.55,0.65,0.128,Positive
212646933,0.1409356725146199,0.5099415204678363,0.4605,Positive
212646607,0.14545454545454542,0.48484848484848486,0.7304,Positive
212663320,-0.25,0.5916666666666667,-0.4019,Negative
212662506,0.0,0.0,0.0,Neutral
212662185,0.0,0.0,0.0,Neutral
212661400,0.4600000000000001,0.5700000000000001,0.8625,Positive
212661151,0.15,0.7,0.1604,Positive
212660742,0.4166666666666667,0.5833333333333334,0.0,Neutral
212660669,-0.8,0.9,0.7269,Positive
212660626,0.14999999999999997,0.5,0.5777,Positive
212660079,0.0,0.0,0.0,Neutral
212658543,0.05000000000000002,0.3125,-0.0777,Negative
212658402,-0.086742275035014,0.4309290382819795,-0.9696,Negative
212658296,-0.15555555555555559,0.6666666666666666,0.1717,Positive
212657787,-0.2,0.2,0.1027,Positive
212657367,0.1,1.0,-0.128,Negative
212656436,0.5333333333333333,0.5666666666666667,0.7964,Positive
212656034,-0.08750000000000002,0.47750000000000004,0.8682,Positive
212655959,0.09999999999999998,0.3333333333333333,0.4939,Positive
212655352,0.19666666666666668,0.15333333333333335,0.9598,Positive
212654615,-0.6000000000000001,0.65,-0.5719,Negative
212654585,-0.05000000000000002,0.30000000000000004,0.2846,Positive
212654530,-0.09375000000000003,0.5166666666666666,-0.1431,Negative
212654187,-0.05026515151515153,0.549810606060606,-0.9517,Negative
212653269,0.003333333333333327,0.42444444444444446,0.3612,Positive
212653147,-0.007500000000000004,0.49749999999999994,0.9643,Positive
212652868,0.5,0.5,-0.1406,Negative
212652641,0.546875,0.55,-0.8248,Negative
212652505,0.14999999999999997,0.5,0.714,Positive
212651040,0.13599999999999998,0.8800000000000001,0.9409,Positive
212649810,-0.3666666666666667,0.5,-0.5267,Negative
212648739,0.0,0.0,0.0,Neutral
212648149,0.30000000000000004,0.45,0.6808,Positive
212646312,0.32199999999999995,0.716,0.4338,Positive
212646294,0.0,0.0,0.0,Neutral
212645982,0.2239354066985646,0.5105741626794259,0.9984,Positive
212645798,-1.3877787807814457e-17,0.475,-0.0516,Negative
212645763,0.3,0.2,0.5106,Positive
212645711,0.0,0.0,-0.1531,Negative
212645612,0.14999999999999997,0.5,-0.5859,Negative
212645512,-0.4666666666666666,0.4666666666666666,-0.6249,Negative
212645414,0.24285714285714288,0.5857142857142856,0.8437,Positive
212645280,0.0,0.0,-0.811,Negative
212645202,0.1,0.375,-0.3182,Negative
212644942,-0.7,0.7,-0.3049,Negative
212644914,0.0,0.0,0.0,Neutral
212643898,-0.2,0.2,0.34,Positive
212643447,0.39,0.26,0.3174,Positive
212643205,0.0,0.0,0.7096,Positive
212643172,0.5,0.6,0.6369,Positive
212642711,0.07499999999999998,0.25,0.6901,Positive
212642650,0.6,0.8,-0.2663,Negative
212642649,-0.4,0.4,0.2023,Positive
212642360,0.10624999999999998,0.60625,0.4939,Positive
